"SMILES","PKM2_inhibition","ERK2_inhibition"
"C=C(C)c1nc(N)nc(N)n1",0,0
"C=C(Cl)COc1ccc2c(C)cc(=O)oc2c1",0,0
"C=CCNC(=O)CCCC(=O)NCC=C",0,0
"C=CCOn1c(=O)c(C)[n+]([O-])c2ccccc21",0,0
"C=CCn1cc(Cl)c(=O)n(CC=C)c1=O",0,0
"CC(=O)N(C)c1ccc(NC(=O)c2ccco2)cc1",0,0
"CC(=O)c1c(N(C)C)cc[nH+]c1C(F)(F)F",0,0
"CC(C)(N[O-])/C(=N/O)c1cccs1",0,0
"CC(C)C(=O)Nc1cc(=O)nc2nc[nH]n12",0,0
"CC(C)[NH+](Cc1nc2ccccc2[nH]1)C(C)C",0,0
"CC(C)c1ccc(NC(=O)c2cccnc2)cc1",0,0
"CC(Nc1ccccc1)=[NH+]c1ccccc1",0,0
"CCC(CC)C(=O)NCc1ccccc1OC",0,0
"CCC/C(=N\O)c1c[nH]c2ccccc12",0,0
"CCCC(=O)Nc1cc(=O)nc2nc[nH]n12",0,0
"CCCCCCP(=O)([O-])c1ccccc1",0,0
"CCCCOC(=O)c1cc(=O)[nH]c2ccccc12",0,0
"CCCCP(=O)([O-])CCC(=O)[O-]",0,0
"CCCOc1ccc2ncc(C(=O)[O-])c(O)c2c1",0,0
"CCC[C@@](O)(CC[NH+](C)C)c1ccc(OC)cc1",0,0
"CCCc1ccc(OCCNC(=O)CC)cc1",0,0
"CCN(CC)S(=O)(=O)c1cccc2nonc12",0,0
"CCOC(=O)CCc1nc2ccccc2[nH]1",0,0
"CCOC(=O)N=[S@@](N)(=O)c1ccc(Cl)cc1",0,0
"CCOC(=O)NCc1ccc2c(c1)cc(C)n2C",0,0
"CCOC(=O)Nc1cccc2ccccc12",0,0
"CCOC(=O)c1cccc(C(=O)OCC)n1",0,0
"CCOc1ccc(C(=O)[O-])cc1OC",0,0
"CCOc1ccc(CN2CCC(=O)NC2=O)cc1",0,0
"CC[NH+]1CCN(Cc2nnnn2C(C)(C)C)CC1",0,0
"CCc1ccccc1N1C(=O)[C@H]2CC=CC[C@@H]2C1=O",0,0
"CCc1nn2cc(-c3ccccc3)[nH+]c2s1",0,0
"CCc1nnc(NC(=O)C2CCC2)s1",0,0
"CCc1nnc(NCn2nc(C)cc2C)s1",0,0
"CN(C)C(=O)Oc1ccc(C[NH+](C)C)cc1Cl",0,0
"CN(C)S(=O)(=O)NCc1ccc2c(c1)OCO2",0,0
"COC(=O)COc1ccc(C(=O)OC)cc1",0,0
"COC(=O)CSc1nc2ccccc2o1",0,0
"COC(=O)C[C@H]1[NH2+]CCNC1=O",0,0
"COC(=O)[C@@H]1C[C@H]1[C@@H](NC(C)=O)c1ccccc1",0,0
"COC(=O)c1cc(Cl)c(N)cc1OC",0,0
"COC(=O)c1ccccc1NC(=O)COC(C)=O",0,0
"COC(=O)c1noc(-c2ccc(OC)cc2)n1",0,0
"COCCCNc1nc2c([nH]1)c(=O)[nH]c(=O)n2C",0,0
"COCCn1cnc2cc(C)c(C)cc21",0,0
"COCc1c(C[NH3+])cnc(C)c1N",0,0
"COc1cc(C(=O)[O-])ccc1OC(C)=O",0,0
"COc1cc(C(=S)N2CCCC2)ccc1O",0,0
"COc1ccc(-n2nc(C)cc2[O-])cc1",0,0
"COc1ccc(CC(=O)N2CCNC2=O)cc1",0,0
"COc1ccc([C@H](O)CNc2ccc(C)cc2)cc1",0,0
"COc1cccc(NC(=O)CCP(C)(=O)[O-])c1",0,0
"COc1cccc(OC[C@H](O)CO)c1",0,0
"COc1ccccc1-c1noc(-c2ccco2)n1",0,0
"COc1ccccc1NC1=C(C)C(=O)CC1",0,0
"CSC1=[NH+]CCN1C(=O)c1cccs1",0,0
"CSCCC(=O)Nc1ccc(C(C)=O)cc1",0,0
"CSc1n[nH]c(NCc2ccccc2)n1",0,0
"CSc1nnc2c(n1)OC(C)=Nc1ccccc1-2",0,0
"C[C@@H]([NH2+]C(C)(C)C)C(=O)c1cccc(Cl)c1",0,0
"C[C@@]12/C(=N/O)[C@@H]3[C@H]4C[C@H]5[C@@H]3/C(=N/O)[C@@H]1[C@H]5[C@H]42",0,0
"C[C@H](C(=O)[O-])N1C(=O)CSC1=S",0,0
"C[C@H](Cc1ccccc1)C(=O)NCCO",0,0
"C[NH+](C)/C=C1/Nc2ccccc2C1=O",0,0
"C[NH+](C)C[C@@H](C(=O)c1ccccc1)c1ccccc1",0,0
"C[NH2+]Cc1cc2ccc(C)cc2nc1O",0,0
